"(x, y)",Year,Month,Town,Block,Floor_Area,Flat_Model,Lease_Commence_Date,Price_Per_Square_Meter
"(1, 80)",2017,02,BUKIT PANJANG,149,103,Model A,1988,2913
"(1, 81)",2017,02,BUKIT PANJANG,149,103,Model A,1988,2913
"(1, 82)",2017,02,BUKIT PANJANG,149,103,Model A,1988,2913
"(1, 83)",2017,02,BUKIT PANJANG,149,103,Model A,1988,2913
"(1, 84)",2017,02,BUKIT PANJANG,149,103,Model A,1988,2913
"(1, 85)",2017,02,BUKIT PANJANG,149,103,Model A,1988,2913
"(1, 86)",2017,02,BUKIT PANJANG,149,103,Model A,1988,2913
"(1, 87)",2017,02,BUKIT PANJANG,149,103,Model A,1988,2913
"(1, 88)",2017,02,BUKIT PANJANG,149,103,Model A,1988,2913
"(1, 89)",2017,02,BUKIT PANJANG,149,103,Model A,1988,2913
"(1, 90)",2017,02,BUKIT PANJANG,149,103,Model A,1988,2913
"(1, 91)",2017,02,BUKIT PANJANG,149,103,Model A,1988,2913
"(1, 92)",2017,02,BUKIT PANJANG,149,103,Model A,1988,2913
"(1, 93)",2017,02,BUKIT PANJANG,149,103,Model A,1988,2913
"(1, 94)",2017,02,BUKIT PANJANG,149,103,Model A,1988,2913
"(1, 95)",2017,02,BUKIT PANJANG,149,103,Model A,1988,2913
"(1, 96)",2017,02,BUKIT PANJANG,149,103,Model A,1988,2913
"(1, 97)",2017,02,BUKIT PANJANG,149,103,Model A,1988,2913
"(1, 98)",2017,02,BUKIT PANJANG,149,103,Model A,1988,2913
"(1, 99)",2017,02,BUKIT PANJANG,149,103,Model A,1988,2913
"(1, 100)",2017,02,BUKIT PANJANG,149,103,Model A,1988,2913
"(1, 101)",2017,02,BUKIT PANJANG,149,103,Model A,1988,2913
"(1, 102)",2017,02,BUKIT PANJANG,149,103,Model A,1988,2913
"(1, 103)",2017,02,BUKIT PANJANG,149,103,Model A,1988,2913
"(1, 104)",2017,02,BUKIT PANJANG,244,122,Improved,1988,3279
"(1, 105)",2017,02,BUKIT PANJANG,244,122,Improved,1988,3279
"(1, 106)",2017,02,BUKIT PANJANG,244,122,Improved,1988,3279
"(1, 107)",2017,02,BUKIT PANJANG,244,122,Improved,1988,3279
"(1, 108)",2017,02,BUKIT PANJANG,244,122,Improved,1988,3279
"(1, 109)",2017,02,BUKIT PANJANG,244,122,Improved,1988,3279
"(1, 110)",2017,02,BUKIT PANJANG,244,122,Improved,1988,3279
"(1, 111)",2017,02,BUKIT PANJANG,244,122,Improved,1988,3279
"(1, 112)",2017,02,BUKIT PANJANG,244,122,Improved,1988,3279
"(1, 113)",2017,02,BUKIT PANJANG,244,122,Improved,1988,3279
"(1, 114)",2017,02,BUKIT PANJANG,244,122,Improved,1988,3279
"(1, 115)",2017,02,BUKIT PANJANG,244,122,Improved,1988,3279
"(1, 116)",2017,02,BUKIT PANJANG,244,122,Improved,1988,3279
"(1, 117)",2017,02,BUKIT PANJANG,244,122,Improved,1988,3279
"(1, 118)",2017,02,BUKIT PANJANG,244,122,Improved,1988,3279
"(1, 119)",2017,02,BUKIT PANJANG,244,122,Improved,1988,3279
"(1, 120)",2017,02,BUKIT PANJANG,244,122,Improved,1988,3279
"(1, 121)",2017,02,BUKIT PANJANG,244,122,Improved,1988,3279
"(1, 122)",2017,02,BUKIT PANJANG,244,122,Improved,1988,3279
"(1, 123)",2017,02,BUKIT PANJANG,422,146,Maisonette,1988,3630
"(1, 124)",2017,02,BUKIT PANJANG,422,146,Maisonette,1988,3630
"(1, 125)",2017,02,BUKIT PANJANG,422,146,Maisonette,1988,3630
"(1, 126)",2017,02,BUKIT PANJANG,422,146,Maisonette,1988,3630
"(1, 127)",2017,02,BUKIT PANJANG,422,146,Maisonette,1988,3630
"(1, 128)",2017,02,BUKIT PANJANG,422,146,Maisonette,1988,3630
"(1, 129)",2017,02,BUKIT PANJANG,422,146,Maisonette,1988,3630
"(1, 130)",2017,02,BUKIT PANJANG,422,146,Maisonette,1988,3630
"(1, 131)",2017,02,BUKIT PANJANG,422,146,Maisonette,1988,3630
"(1, 132)",2017,02,BUKIT PANJANG,422,146,Maisonette,1988,3630
"(1, 133)",2017,02,BUKIT PANJANG,422,146,Maisonette,1988,3630
"(1, 134)",2017,02,BUKIT PANJANG,422,146,Maisonette,1988,3630
"(1, 135)",2017,02,BUKIT PANJANG,422,146,Maisonette,1988,3630
"(1, 136)",2017,02,BUKIT PANJANG,422,146,Maisonette,1988,3630
"(1, 137)",2017,02,BUKIT PANJANG,422,146,Maisonette,1988,3630
"(1, 138)",2017,02,BUKIT PANJANG,422,146,Maisonette,1988,3630
"(1, 139)",2017,02,BUKIT PANJANG,422,146,Maisonette,1988,3630
"(1, 140)",2017,02,BUKIT PANJANG,422,146,Maisonette,1988,3630
"(1, 141)",2017,02,BUKIT PANJANG,422,146,Maisonette,1988,3630
"(1, 142)",2017,02,BUKIT PANJANG,422,146,Maisonette,1988,3630
